ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
399006.SZ,20241204,2213.4056,2237.6495,2246.0394,2204.3896,2245.4986,-32.093,-1.4292,26558830.27,96334437.74697
399006.SZ,20241205,2221.4566,2207.4991,2237.0882,2207.4991,2213.4056,8.051,0.3637,25304859.58,93684210.54864
399006.SZ,20241206,2267.0641,2219.9079,2289.8092,2213.3241,2221.4566,45.6075,2.053,33309153.65,121425429.20485
399006.SZ,20241209,2248.6273,2265.1879,2273.0813,2229.5145,2267.0641,-18.4368,-0.8132,27672927.41,99093543.59258
399006.SZ,20241210,2264.051,2358.2881,2358.4852,2258.0186,2248.6273,15.4237,0.6859,47757799.97,166323536.00469
399006.SZ,20241211,2261.5823,2260.7005,2278.7883,2251.3542,2264.051,-2.4687,-0.109,32158231.14,108395723.08452
399006.SZ,20241212,2292.1451,2257.308,2302.6437,2256.065,2261.5823,30.5628,1.3514,32503430.31,113821185.42102
399006.SZ,20241213,2235.2586,2272.2664,2276.1275,2234.1701,2292.1451,-56.8865,-2.4818,44768406.79,144785048.38888
399006.SZ,20241216,2201.5324,2232.6249,2234.1863,2192.2524,2235.2586,-33.7262,-1.5088,29800090.58,104715444.53571
399006.SZ,20241217,2201.181,2197.1259,2233.172,2197.1259,2201.5324,-0.3514,-0.016,24478713.21,93003119.37802
399006.SZ,20241218,2202.1373,2207.1823,2216.0033,2192.5973,2201.181,0.9563,0.0434,21199082.35,75719726.36301
399006.SZ,20241219,2213.5429,2178.463,2220.4332,2174.9434,2202.1373,11.4056,0.5179,26717314.63,88686824.8938
399006.SZ,20241220,2209.6616,2209.3755,2234.1315,2201.9409,2213.5429,-3.8813,-0.1753,26173816.52,101285580.03892
399006.SZ,20241223,2187.9448,2205.6903,2223.6367,2185.3528,2209.6616,-21.7168,-0.9828,25576111.27,100476250.40515
399006.SZ,20241224,2213.548,2190.4696,2215.1924,2187.7803,2187.9448,25.6032,1.1702,22226798.28,88402431.34014
399006.SZ,20241225,2201.296,2215.6123,2216.3572,2186.9997,2213.548,-12.252,-0.5535,21819081.89,81190580.81404
399006.SZ,20241226,2209.8464,2200.3188,2219.6932,2193.5882,2201.296,8.5504,0.3884,22939321.45,91677104.56082
399006.SZ,20241227,2204.8965,2209.7101,2235.5559,2196.2938,2209.8464,-4.9499,-0.224,28168896.26,109912240.19294
399006.SZ,20241230,2206.2852,2198.8648,2218.7352,2198.1247,2204.8965,1.3887,0.063,24743342.64,92471090.24484
399006.SZ,20241231,2141.5958,2202.1811,2207.3112,2141.5958,2206.2852,-64.6894,-2.9321,29287266.96,102475635.45368
399006.SZ,20250102,2060.4422,2136.9221,2137.6549,2040.3792,2141.5958,-81.1536,-3.7894,31992082.5,104509149.42585
399006.SZ,20250103,2015.9671,2062.4025,2067.4089,2015.9633,2060.4422,-44.4751,-2.1585,26216149.21,83040747.05671
399006.SZ,20250106,2014.1899,2018.2457,2033.2681,2000.8615,2015.9671,-1.7772,-0.0882,19827893.7,65404117.97721
