ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000852.SH,20240913,4413.1872,4471.9836,4478.2182,4413.1872,4468.7439,-55.5567,-1.2432,116827287.0,102975444.0462
000852.SH,20240918,4399.1332,4413.9028,4425.7918,4342.2087,4413.1872,-14.054,-0.3185,113552078.0,94168113.8278
000852.SH,20240919,4482.2746,4418.7844,4527.6125,4385.4861,4399.1332,83.1414,1.8899,145747160.0,122312275.7191
000852.SH,20240920,4463.3561,4484.1751,4487.0758,4428.1654,4482.2746,-18.9185,-0.4221,127480177.0,110050423.3616
000852.SH,20240923,4469.1326,4462.7166,4513.9695,4445.9898,4463.3561,5.7765,0.1294,124945066.0,113678187.1748
000852.SH,20240924,4642.5577,4489.4922,4642.5577,4466.3364,4469.1326,173.4251,3.8805,215782531.0,186154173.3961
000852.SH,20240925,4686.2584,4688.3888,4799.857,4681.8534,4642.5577,43.7007,0.9413,264240731.0,228396448.0701
000852.SH,20240926,4874.1321,4675.9444,4874.1321,4672.8658,4686.2584,187.8737,4.009,253977829.0,222158651.4669
000852.SH,20240927,5136.4408,4950.9375,5164.5422,4944.8397,4874.1321,262.3087,5.3816,290681694.0,277755801.2704
000852.SH,20240930,5708.8258,5375.5712,5732.5678,5307.5486,5136.4408,572.385,11.1436,471432852.0,484582504.0806
000852.SH,20241008,6201.9854,6437.113,6437.113,5861.3216,5708.8258,493.1596,8.6385,550590792.0,637520550.8651
000852.SH,20241009,5727.38,6052.6705,6105.0293,5706.0452,6201.9854,-474.6054,-7.6525,458094212.0,561178624.9817
000852.SH,20241010,5654.5298,5777.8982,5881.3291,5593.9827,5727.38,-72.8502,-1.272,349628012.0,422832925.0909
000852.SH,20241011,5416.7576,5610.9476,5616.8064,5349.3206,5654.5298,-237.7722,-4.205,279992646.0,325513950.1767
000852.SH,20241014,5615.7563,5451.619,5620.4185,5346.4244,5416.7576,198.9987,3.6738,281144405.0,332914366.9244
000852.SH,20241015,5507.1758,5585.6884,5704.5604,5505.8095,5615.7563,-108.5805,-1.9335,297517095.0,380974458.3079
000852.SH,20241016,5524.2546,5425.4315,5598.8351,5424.3934,5507.1758,17.0788,0.3101,248520319.0,306601622.5343
000852.SH,20241017,5505.6149,5563.4645,5624.7937,5504.4852,5524.2546,-18.6397,-0.3374,276397486.0,351913540.3018
000852.SH,20241018,5749.4341,5495.196,5880.8958,5484.2353,5505.6149,243.8192,4.4286,359719039.0,468006517.5761
000852.SH,20241021,5860.5711,5797.0029,5954.4356,5767.7901,5749.4341,111.137,1.933,355061095.0,496180057.6071
000852.SH,20241022,5888.8148,5866.7857,5940.3672,5814.2974,5860.5711,28.2437,0.4819,347298628.0,466594853.5506
000852.SH,20241023,5903.5783,5871.3184,5991.5887,5856.3675,5888.8148,14.7635,0.2507,333753772.0,435103067.6651
000852.SH,20241024,5861.6319,5871.2864,5887.4495,5817.9319,5903.5783,-41.9464,-0.7105,264149476.0,352283289.3208
000852.SH,20241025,5974.9086,5876.4368,6014.11,5876.2135,5861.6319,113.2767,1.9325,306820665.0,394949027.9106
000852.SH,20241028,6082.0877,5988.7231,6082.0877,5965.0012,5974.9086,107.1791,1.7938,326722938.0,408798512.1494
000852.SH,20241029,5983.8364,6106.1943,6113.6381,5982.5264,6082.0877,-98.2513,-1.6154,369325299.0,475114148.3055
000852.SH,20241030,6019.3472,5960.7916,6043.5869,5945.6752,5983.8364,35.5108,0.5934,324380186.0,416947148.5424
000852.SH,20241031,6116.6632,6041.0129,6161.5551,6004.7132,6019.3472,97.316,1.6167,386119485.0,507595177.9392
000852.SH,20241101,5930.2319,6100.7899,6125.4077,5912.5322,6116.6632,-186.4313,-3.0479,409338276.0,511368123.6271
000852.SH,20241104,6053.1116,5912.3135,6053.1116,5912.3135,5930.2319,122.8797,2.0721,295637147.0,378246863.9099
000852.SH,20241105,6266.5423,6057.2076,6279.9151,6051.457,6053.1116,213.4307,3.526,390142531.0,511248826.4644
000852.SH,20241106,6293.1933,6287.2933,6368.8685,6247.1524,6266.5423,26.651,0.4253,424250101.0,551410098.2161
000852.SH,20241107,6403.9175,6238.6172,6403.9175,6229.4904,6293.1933,110.7242,1.7594,408571652.0,498495772.9355
000852.SH,20241108,6423.1217,6470.0738,6526.6496,6400.0935,6403.9175,19.2042,0.2999,451796308.0,570702092.9215
000852.SH,20241111,6579.0054,6416.1676,6580.5679,6412.5756,6423.1217,155.8837,2.4269,402436255.0,551137709.9527
000852.SH,20241112,6491.9723,6593.822,6616.1571,6429.35,6579.0054,-87.0331,-1.3229,400715244.0,547396142.3398
000852.SH,20241113,6474.3941,6453.864,6512.5971,6357.5563,6491.9723,-17.5782,-0.2708,317485928.0,420386937.3489
000852.SH,20241114,6272.1911,6462.0103,6472.9535,6263.3137,6474.3941,-202.203,-3.1231,294794718.0,387867737.3262
000852.SH,20241115,6125.5126,6246.3358,6331.8722,6124.6613,6272.1911,-146.6785,-2.3386,295191634.0,383424106.2087
000852.SH,20241118,5974.5576,6154.5074,6180.8797,5937.0854,6125.5126,-150.955,-2.4644,322672608.0,374007994.7605
000852.SH,20241119,6130.2848,5977.8438,6130.4961,5945.4558,5974.5576,155.7272,2.6065,273167526.0,327924260.7634
000852.SH,20241120,6250.8029,6116.9604,6262.0825,6105.2219,6130.2848,120.5181,1.9659,299975821.0,367521344.3503
000852.SH,20241121,6262.1644,6241.0086,6292.8595,6199.7056,6250.8029,11.3615,0.1818,299655111.0,380712417.7441
000852.SH,20241122,6030.4882,6240.0855,6280.6033,6030.3749,6262.1644,-231.6762,-3.6996,342129117.0,415874882.2441
000852.SH,20241125,6052.1287,6047.9384,6076.1906,5937.9052,6030.4882,21.6405,0.3589,277646776.0,336016461.4506
000852.SH,20241126,5981.5699,6036.6375,6093.3708,5979.3916,6052.1287,-70.5588,-1.1659,244404112.0,293810759.3189
000852.SH,20241127,6118.6636,5942.5332,6119.011,5856.9973,5981.5699,137.0937,2.2919,290946267.0,337553542.2133
000852.SH,20241128,6086.0852,6121.6778,6170.1336,6077.6009,6118.6636,-32.5784,-0.5324,301235560.0,352731886.1727
000852.SH,20241129,6189.1276,6066.7135,6246.1979,6039.8317,6086.0852,103.0424,1.6931,324762691.0,387695670.2897
000852.SH,20241202,6313.6077,6188.8016,6325.8604,6188.8016,6189.1276,124.4801,2.0113,354028066.0,408649278.0023
